,name,yob
237,Martin Bayfield,1966
238,Julian Glover,1935
239,Les Bubb,1990
240,James Watkins,1990
241,James Watkins,1990
242,Daniel Radcliffe,1989
243,Ciarán Hinds,1990
244,Janet McTeer,1961
245,Liz White,1979
246,Tim McMullan,1990
247,Jessica Raine,1982
248,Shaun Dooley,1974
249,Mary Stockley,1990
250,Roger Allam,1953
251,Daniel Cerqueira,1990
252,David Burke,1962
253,Sophie Stuckey,1991
254,Misha Handley,1990
255,Aoife Doherty,1990
256,Victor McGuire,1990
257,Alexia Osborne,1990
258,Alisa Khazanova,1990
259,Ashley Foster,1990
260,Sidney Johnston,1990
261,Alfie Field,1990
262,Cathy Sara,1990
263,Emma Shorey,1990
264,Molly Harmon,1990
265,Ellisa Walker-Reid,1990
266,Lucy May Barker,1990
267,Indira Ainger,1990
268,Andy Robb,1990
269,Brian De Palma,1990
270,Brian De Palma,1990
271,Tom Cruise,1962
272,Jon Voight,1938
273,Henry Czerny,1959
274,Emmanuelle Béart,1990
275,Ving Rhames,1959
276,Kristin Scott Thomas,1990
277,Vanessa Redgrave,1937
278,Jean Reno,1948
279,Emilio Estevez,1962
280,Ingeborga Dapkūnaitė,1990
281,Rolf Saxon,1955
282,Marcel Iureș,1990
283,Karel Dobrý,1990
284,Andreas Wisniewski,1990
285,Annabel Mullion,1990
286,Olegar Fedoro,1990
287,Morgan Deare,1990
288,Valentina Yakunina,1990
289,Marek Vašut,1990
290,Nathan Osgood,1990
291,John McLaughlin,1942
292,David Shaeffer,1990
293,Rudolf Pechan,1990
294,Gaston Šubert,1990
295,Ricco Ross,1958
296,Mark Houghton,1990
297,Bob Friend,1990
298,Garrick Hagon,1990
299,Jiřina Třebická,1990
300,Andrzej Borkowski,1990
301,Maya Dokic,1990
302,Sam Douglas,1957
303,Carmela Marner,1990
304,Mimi Potworowska,1990
305,David Schneider,1963
306,Helen Lindsay,1990
307,Pat Starr,1990
308,Richard D. Sharp,1990
309,Randall Paul,1990
310,Sue Doucette,1990
311,Graydon Gould,1990
312,Tony Vogel,1990
313,Michael Rogers,1958
314,Laura Brook,1990
315,David Phelan,1990
316,Melissa Knatchbull,1990
317,Ion Caramitru,1990
318,Dale Dye,1944
319,Keith Campbell,1990
320,Michael Cella,1990
321,Harry Fielder,1990
322,Toby Hinson,1990
323,John Knoll,1990
324,Paul Markham,1990
325,Andrew Davis,1990
326,Andrew Davis,1990
327,Arnold Schwarzenegger,1947
328,Francesca Neri,1964
329,Elias Koteas,1961
330,Cliff Curtis,1968
331,John Leguizamo,1960
332,John Turturro,1957
333,Jsu Garcia,1963
334,Tyler Posey,1991
335,Michael Milhoan,1957
336,Rick Worthy,1967
337,Raymond Cruz,1961
338,Lindsay Frost,1962
339,Ethan Dampf,1990
